"date","hubei","guangdong","beijing","shanghai","zhejiang","tianjin","chongqing","jiangxi","shandong","henan","hunan","sichuan","yunnan","shanxi","fujian","liaoning","hainan","anhui","guizhou","guangxi","ningxia","hebei","jiangsu","jilin","heilongjiang","shaanxi","xinjiang","gansu","inner_mongolia","qinghai","tibet","wuhan_hubei","hubei_outside_wuhan","hubei_D","guangdong_D","beijing_D","shanghai_D","zhejiang_D","tianjin_D","chongqing_D","jiangxi_D","shandong_D","henan_D","hunan_D","sichuan_D","yunnan_D","shanxi_D","fujian_D","liaoning_D","hainan_D","anhui_D","guizhou_D","guangxi_D","ningxia_D","hebei_D","jiangsu_D","jilin_D","heilongjiang_D","shaanxi_D","xinjiang_D","gansu_D","inner_mongolia_D","qinghai_D","tibet_D","wuhan_hubei_D","hubei_outside_wuhan_D","hubei_R","guangdong_R","beijing_R","shanghai_R","zhejiang_R","tianjin_R","chongqing_R","jiangxi_R","shandong_R","henan_R","hunan_R","sichuan_R","yunnan_R","shanxi_R","fujian_R","liaoning_R","hainan_R","anhui_R","guizhou_R","guangxi_R","ningxia_R","hebei_R","jiangsu_R","jilin_R","heilongjiang_R","shaanxi_R","xinjiang_R","gansu_R","inner_mongolia_R","qinghai_R","tibet_R"
"2020-01-11",41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-16",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-17",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-18",59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-19",77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-20",72,13,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-21",105,12,5,7,5,2,5,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-22",69,6,4,7,5,2,4,1,5,4,8,3,0,1,1,2,4,1,3,2,1,1,1,1,0,3,0,0,0,0,0,62,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-23",105,21,12,4,33,1,18,4,3,4,15,10,1,0,4,2,4,14,0,11,1,1,8,2,4,2,2,2,1,0,0,70,35,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-24",180,25,10,13,19,3,30,11,12,23,19,13,3,5,5,8,2,24,1,10,1,6,9,1,5,10,1,2,1,0,0,77,103,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2020-01-25",323,20,15,7,42,2,18,18,18,51,26,16,6,3,19,5,12,21,1,10,1,5,13,0,6,7,1,3,5,1,0,46,277,13,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-26",371,48,17,13,24,4,35,12,24,45,31,25,8,4,27,5,9,10,2,13,3,5,16,2,6,13,1,7,4,3,0,80,291,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-27",1291,42,12,13,45,9,22,24,24,40,43,21,7,7,17,5,7,36,2,5,4,15,23,2,9,11,5,5,2,2,0,892,399,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,3,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-28",840,53,11,14,123,1,15,37,34,38,78,18,25,7,9,9,5,46,0,7,1,15,29,1,7,10,3,5,2,0,0,315,525,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,33,1,2,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"2020-01-29",1032,70,20,21,132,3,18,53,24,72,56,34,19,8,19,3,3,48,3,20,5,17,30,5,6,7,1,2,3,0,1,356,676,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,12,10,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-30",1220,82,21,27,109,5,41,78,33,74,55,36,10,4,19,4,3,37,3,9,4,17,39,0,16,24,3,3,2,2,0,378,842,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,30,12,26,3,0,1,5,0,0,4,1,1,2,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"2020-01-31",1347,127,24,41,62,5,41,46,28,70,67,30,11,8,24,20,8,60,14,13,5,14,34,3,21,14,1,6,3,1,0,576,771,45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,12,50,1,0,4,6,0,0,2,1,0,1,2,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0
"2020-02-01",1921,84,27,8,62,8,15,47,19,71,64,23,8,9,15,1,6,43,9,11,2,8,34,6,15,15,2,5,4,2,0,894,1027,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,13,49,2,4,1,8,0,2,1,2,1,5,0,1,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,1,0,0
"2020-02-02",2103,79,29,26,63,11,50,58,34,73,58,23,15,10,20,9,8,68,8,16,3,9,35,8,26,12,4,11,7,2,0,1033,1070,56,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,15,80,2,3,0,13,1,4,8,1,10,8,9,1,1,0,0,3,2,0,0,0,3,1,0,0,0,0,3,0,0,0
"2020-02-03",2345,114,16,5,105,4,25,85,11,109,72,28,3,8,15,1,7,72,10,12,3,13,37,11,34,14,5,4,1,2,0,1242,1103,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,16,101,6,11,0,12,0,2,1,1,6,6,2,2,0,1,0,0,7,0,5,1,0,1,0,0,1,0,3,0,0,0
"2020-02-04",3156,73,25,25,66,9,29,72,28,89,68,19,5,7,11,7,11,50,8,11,0,9,33,12,35,23,3,2,7,2,0,1967,1189,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,16,125,12,1,2,15,1,5,8,6,21,13,9,0,2,6,1,1,6,0,3,0,1,5,0,2,1,0,1,0,0,0
"2020-02-05",2987,74,21,21,59,2,23,52,45,87,50,20,6,9,10,8,11,61,5,18,6,22,32,5,37,8,4,5,4,1,0,1766,1221,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,52,18,113,17,7,3,18,0,1,10,5,13,21,4,0,2,4,2,1,3,1,4,0,3,13,1,3,4,0,2,3,3,0
"2020-02-06",2447,74,23,15,52,10,22,61,36,63,61,23,7,6,9,5,11,74,6,4,3,14,35,6,36,11,3,5,4,0,0,1501,946,69,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,5,184,19,2,10,17,0,9,8,13,14,35,10,2,6,4,1,3,11,0,3,0,9,12,2,1,5,0,3,0,0,0
"2020-02-07",2841,57,18,12,42,2,15,37,28,66,31,19,3,7,15,5,11,68,12,11,1,24,31,4,18,11,3,4,2,0,0,1985,856,81,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,67,14,298,29,1,5,29,0,7,10,7,29,28,13,5,3,5,2,3,13,0,0,2,9,5,0,4,6,0,0,0,0,0
"2020-02-08",2060,45,11,11,15,2,20,41,28,53,35,23,2,12,11,6,6,46,9,12,1,11,29,9,26,13,3,8,2,0,0,1378,682,81,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,63,18,324,28,3,11,46,2,8,17,12,34,40,10,5,6,4,1,4,12,1,1,10,5,8,1,1,3,0,3,1,0,0
"2020-02-09",2618,31,11,3,29,3,22,33,24,40,41,19,1,4,11,2,8,51,13,15,4,12,24,2,24,5,4,4,4,0,0,1921,697,91,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,73,18,356,18,7,3,28,0,12,30,13,38,27,16,0,4,11,4,4,14,0,0,0,5,21,7,2,6,0,4,0,0,0
"2020-02-10",2097,26,5,7,25,7,18,32,27,32,33,12,8,3,6,1,6,30,18,5,4,21,23,1,29,6,6,3,0,0,0,1552,545,103,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,67,36,427,38,4,4,50,4,15,25,8,29,27,6,1,1,4,0,0,15,3,12,1,6,12,1,12,5,0,5,0,0,0
"2020-02-11",1638,42,10,4,14,11,19,40,11,30,34,19,5,2,5,8,3,29,13,7,5,12,28,2,18,6,4,0,2,0,0,1104,534,94,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,22,417,60,8,5,28,2,13,25,9,33,50,3,0,4,7,7,1,20,7,1,8,7,10,5,1,5,3,3,0,2,0
"2020-02-12",1508,22,14,7,14,6,13,28,9,34,22,15,1,2,7,2,12,21,4,0,6,14,27,1,17,4,4,1,1,0,0,1072,436,107,0,0,0,0,1,0,0,1,2,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,82,25,802,43,12,4,48,1,23,18,18,27,49,8,3,3,8,3,7,20,3,2,2,6,37,4,3,6,0,7,1,4,1
"2020-02-13",1728,20,6,5,10,7,11,28,13,15,20,12,7,0,2,1,0,24,5,4,3,18,23,2,23,1,2,3,4,0,0,1330,398,116,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,80,28,690,48,11,5,40,10,26,17,13,55,40,12,4,3,5,2,3,38,8,2,0,15,6,3,6,7,3,8,0,2,0
"2020-02-14",1282,33,3,8,7,1,8,12,11,28,13,7,6,1,4,2,5,16,3,9,3,8,11,2,7,2,5,0,3,0,0,1001,281,139,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,28,912,54,18,28,42,11,24,23,28,45,37,10,5,2,7,7,8,32,5,5,3,17,23,0,11,4,0,5,0,0,0
